username,film_name,rating
yifs,Guardians of the Galaxy (2014),5.0
yifs,Atonement (2007),5.0
yifs,Kill Bill: Vol. 1 (2003),5.0
yifs,Superman (2025),5.0
yifs,Brave (2012),5.0
yifs,12 Angry Men (1957),5.0
yifs,Interstellar (2014),5.0
yifs,Mona Lisa Smile (2003),5.0
yifs,Project Hail Mary (2026),5.0
yifs,The Prestige (2006),5.0
yifs,Rush Hour (1998),5.0
yifs,Sound of Metal (2019),5.0
yifs,A Very Special Supernatural Special (2014),5.0
yifs,The Grand Budapest Hotel (2014),5.0
yifs,Marty Supreme (2025),5.0
yifs,Hamnet (2025),5.0
yifs,The Silence of the Lambs (1991),5.0
yifs,Parasite (2019),5.0
yifs,Past Lives (2023),5.0
yifs,Se7en (1995),5.0
yifs,Before Sunrise (1995),5.0
yifs,A Bronx Tale (1993),5.0
yifs,(500) Days of Summer (2009),5.0
yifs,Tangerines (2013),5.0
yifs,10 Things I Hate About You (1999),5.0
yifs,My Girl (1991),5.0
yifs,The Pianist (2002),5.0
yifs,The Perks of Being a Wallflower (2012),5.0
yifs,Waves (2019),5.0
yifs,Aftersun (2022),5.0
yifs,Eternal Sunshine of the Spotless Mind (2004),5.0
yifs,Prisoners (2013),4.5
yifs,The Sixth Sense (1999),4.5
yifs,The Imitation Game (2014),4.5
yifs,Everything Everywhere All at Once (2022),4.5
yifs,About Time (2013),4.5
yifs,The Brutalist (2024),4.5
yifs,One Day (2011),4.5
yifs,Spider-Man: Brand New Day (2026),4.0
yifs,The Great Gatsby (2013),4.0
yifs,Black Swan (2010),4.0
yifs,Captain America: Civil War (2016),4.0
yifs,Begin Again (2013),4.0
yifs,Legally Blonde (2001),4.0
yifs,I Origins (2014),4.0
yifs,Uptown Girls (2003),4.0
yifs,Eyes Wide Shut (1999),4.0
yifs,The Black Phone (2021),4.0
yifs,Vanilla Sky (2001),4.0
yifs,Eternity (2025),4.0
yifs,Midsommar (2019),4.0
yifs,Manchester by the Sea (2016),4.0
yifs,The Edge of Seventeen (2016),4.0
yifs,Monster (2023),4.0
yifs,"Crazy, Stupid, Love. (2011)",3.5
yifs,The Fantastic 4: First Steps (2025),3.5
yifs,Seazone (2010),3.5
yifs,Ready or Not 2: Here I Come (2026),3.5
yifs,White Nights (1960),3.5
yifs,Call Me by Your Name (2017),3.5
yifs,Gone Girl (2014),3.5
yifs,Saw II (2005),3.5
yifs,Saw (2004),3.5
yifs,Moonlight (2016),3.5
yifs,28 Years Later: The Bone Temple (2026),3.5
yifs,28 Days Later (2002),3.5
yifs,Black Phone 2 (2025),3.5
yifs,Now You See Me: Now You Don't (2025),3.5
yifs,A Cinderella Story (2004),3.5
yifs,Ready or Not (2019),3.5
yifs,Just Like Heaven (2005),3.5
yifs,The Butterfly Effect (2004),3.5
yifs,The Notebook (2004),3.5
yifs,The Godfather (1972),3.0
yifs,Trainspotting (1996),3.0
yifs,Caught Stealing (2025),3.0
yifs,Blink Twice (2024),3.0
yifs,28 Years Later (2025),3.0
yifs,Sinners (2025),3.0
yifs,Mercy (2026),3.0
yifs,The Age of Adaline (2015),3.0
yifs,Sinister 2 (2015),3.0
yifs,Sinister (2012),3.0
yifs,The Road (2009),3.0
yifs,Sleepy Hollow (1999),3.0
yifs,My Fault: London (2025),3.0
yifs,The Virgin Suicides (1999),3.0
yifs,Anora (2024),3.0
yifs,Obsession (2025),2.5
yifs,The Omen (2006),2.5
yifs,The Drama (2026),2.5
yifs,5 to 7 (2014),2.5
yifs,The Social Network (2010),2.5
yifs,DeVour (2005),2.5
yifs,Hannibal (2001),2.5
yifs,Runaway Bride (1999),2.5
yifs,Leap Year (2010),2.5
yifs,Twilight (2008),2.5
yifs,The Wedding Planner (2001),2.5
yifs,Disturbia (2007),2.0
yifs,Pig (2019),2.0
yifs,Ten Inch Hero (2007),2.0
yifs,28 Weeks Later (2007),2.0
yifs,The Good Girl (2002),2.0
yifs,Knight and Day (2010),1.5
yifs,It Ends with Us (2024),1.0
yifs,The Girl Next Door (2004),0.5
yifs,A Serbian Film (2010),0.5
yifs,Jurassic World: Fallen Kingdom (2018),Unrated
yifs,Jurassic World (2015),Unrated
yifs,The Twilight Saga: Breaking Dawn – Part 2 (2012),Unrated
yifs,Avatar: Fire and Ash (2025),Unrated
yifs,Avatar: The Way of Water (2022),Unrated
yifs,Avatar (2009),Unrated
yifs,X-Men (2000),Unrated
yifs,X2 (2003),Unrated
yifs,Fight Club (1999),Unrated
yifs,"Legally Blonde 2: Red, White & Blonde (2003)",Unrated
yifs,Caddo Lake (2024),Unrated
yifs,Jurassic World Dominion (2022),Unrated
yifs,The Twilight Saga: New Moon (2009),Unrated
yifs,Jurassic World Rebirth (2025),Unrated
yvavistvala,This poor rabbit (2017),5.0
yvavistvala,"Childhood too is gone, it vanished (1997)",5.0
yvavistvala,Mikho and Two Maros (2002),5.0
yvavistvala,A Serbian Film (2010),5.0
yvavistvala,Vertigo (1958),5.0
yvavistvala,"Love, Death & Robots: The Witness (2019)",5.0
yvavistvala,"Love, Death & Robots: Jibaro (2022)",5.0
yvavistvala,Howl's Moving Castle (2004),5.0
yvavistvala,Shrek 2 (2004),5.0
yvavistvala,Coraline (2009),5.0
yvavistvala,Coco (2017),5.0
yvavistvala,Oldboy (2003),5.0
yvavistvala,Twin Peaks (1989),5.0
yvavistvala,Sun of the Sleepless (1992),5.0
yvavistvala,White Flags (1990),5.0
yvavistvala,Wine Thieves (1975),5.0
yvavistvala,Feola (1970),5.0
yvavistvala,Kvevri (1970),5.0
yvavistvala,First Swallow (1975),5.0
yvavistvala,Look at These Young People! (1969),5.0
yvavistvala,Data Tutashkhia (1977),5.0
yvavistvala,The Wishing Tree (1976),5.0
yvavistvala,Son-in-law without Diploma (1961),5.0
