username,top_movie_1,top_movie_2,top_movie_3,top_movie_4
palebluelevan,The Dark Knight (2008),Dune: Part Two (2024),The Lord of the Rings: The Return of the King (2003),Man of Steel (2013)
lostmermaid,Eternal Sunshine of the Spotless Mind (2004),10 Things I Hate About You (1999),Coraline (2009),Amélie (2001)
dachuna,La Chimera (2023),The Butterfly Effect (2004),Se7en (1995),Coco (2017)
zoroastrizmi,Sound of Metal (2019),The Lighthouse (2019),The Hunt (2012),The Tell-Tale Heart (2008)
shun121,Forrest Gump (1994),The Very Same Munchhausen (1979),Stalker (1979),"Blue Mountains, or an Unbelievable Story (1983)"
niak_8,10 Things I Hate About You (1999),12 Angry Men (1957),El Camino: A Breaking Bad Movie (2019),Good Will Hunting (1997)
marta_n,Zodiac (2007),Sherlock: The Final Problem (2017),Se7en (1995),Over the Garden Wall (2014)
tornike22,The Lighthouse (2019),Batman v Superman: Dawn of Justice (2016),Interstellar (2014),Rope (1948)
_sallome_,Ikiru (1952),I Origins (2014),Forgotten (2017),The Shining (1980)
datoo,Marcel the Shell with Shoes On (2021),Kiss Kiss Bang Bang (2005),The Holdovers (2023),The Banshees of Inisherin (2022)
mtchrglashvilii,A Long Walk (2006),Kikujiro (1999),Evangelion: 3.0+1.0 Thrice Upon a Time (2021),Dolls (2002)
marierubie,Pride & Prejudice (2005),Wings of Desire (1987),Roots (1987),Paper Moon (1973)
surgichqim,Taste of Cherry (1997),Sapovnela (1959),Close-Up (1990),The African Tale (1963)
katosvibes,Coraline (2009),The Shining (1980),Spirited Away (2001),Trainspotting (1996)
ereklee,Kill Bill: Vol. 1 (2003),Pearl (2022),Scream 4 (2011),Palo Alto (2013)
julius_caesar,Dead Poets Society (1989),"Blue Mountains, or an Unbelievable Story (1983)",The Holdovers (2023),Frankenstein (2025)
mevartaso,Faust (1926),The Sound of Music (1965),The Color of Pomegranates (1969),"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
xocho,Raw (2016),Scott Pilgrim vs. the World (2010),Mysterious Skin (2004),Challengers (2024)
pheebsghosttt,Pride & Prejudice (2005),"Paris, Texas (1984)",The Truman Show (1998),Twin Peaks (1989)
kalashaaa,Aftersun (2022),Taste of Cherry (1997),Repentance (1984),The Little Prince (2015)
nick__mm,"The Cook, the Thief, His Wife & Her Lover (1989)",Mulholland Drive (2001),Sinners (2025),Kill Bill: Vol. 2 (2004)
maariamii,Schindler's List (1993),Taste of Cherry (1997),John Wick (2014),The Snow Queen (1957)
rizzztine,Challengers (2024),,,
barbarikaaaa,The Matrix (1999),The Prestige (2006),The Elephant Man (1980),Sound of Metal (2019)
nanoinfilm,Extremely Loud & Incredibly Close (2011),Dead Poets Society (1989),Wild Child (2008),The Sixth Sense (1999)
gaza00,Parasite (2019),The Thing (1982),Forrest Gump (1994),The Grand Budapest Hotel (2014)
makvhs,Life as a House (2001),House of Wax (2005),,
mandyscandyy,Cinema Paradiso (1988),Little Fish (2020),Dead Poets Society (1989),Sinners (2025)
mari_097,,,,
giorgi09,Forrest Gump (1994),Lawrence of Arabia (1962),It's a Wonderful Life (1946),Kingdom of Heaven (2005)
ellkkk,Life Is Beautiful (1997),Amélie (2001),Hamnet (2025),Repentance (1984)
flaneuar,Call Me by Your Name (2017),The Lobster (2015),I Origins (2014),Interstellar (2014)
xyqn__,"Paris, Texas (1984)",Apocalypse Now (1979),Trainspotting (1996),Cinema Paradiso (1988)
zangerr,Repentance (1984),Scent of a Woman (1992),The Shining (1980),The Seventh Seal (1957)
t4tia,Schindler's List (1993),Gladiator (2000),The Godfather (1972),Barry Lyndon (1975)
anas1tas,Inception (2010),Primal Fear (1996),Now You See Me (2013),Kill Bill: The Whole Bloody Affair (2004)
knownasmedooo,Fear Street: 1978 (2021),The Hunger Games: Catching Fire (2013),Harry Potter and the Prisoner of Azkaban (2004),Parachute (2023)
fisoniniko,Stand by Me (1986),The Royal Tenenbaums (2001),Roman Holiday (1953),The Apartment (1960)
yifs,Eternal Sunshine of the Spotless Mind (2004),Waves (2019),The Prestige (2006),The Perks of Being a Wallflower (2012)
yvavistvala,Fight Club (1999),Rope (1948),The Thing (1982),Pig (2019)
n1ckkk7,Roman Holiday (1953),How to Steal a Million (1966),A Clockwork Orange (1971),Rope (1948)
elene888,The Passion of Joan of Arc (1928),Yi Yi (2000),El Sur (1983),Blue Velvet (1986)
cosmicchild101,In the Mood for Love (2000),After Life (1998),After Hours (1985),Taste of Cherry (1997)
dado7l,Roots (1987),Threads (1984),Memento (2000),The Hateful Eight (2015)
nucc1a,In the Mood for Love (2000),Roots (1987),Sound of Metal (2019),Billy Elliot (2000)
dudikoooo,How to Train Your Dragon (2010),Amadeus (1984),Oldboy (2003),Incendies (2010)
directedbynutsa,The Eccentrics (1974),Repentance (1984),Almost Famous (2000),Hamnet (2025)
